1,1,15.9981,33.4071,49.4052,522.51,16.1299,65.7646,81.8945,524.394,15.865,96.7336,112.599,516.124,16.2967,134.584,150.88,525.288,16.209,167.05,183.259,525.659,16.3796,199.383,215.762,528.191,16.4622,234.399,250.861,530.888,16.4608,256.779,273.24,529.827,16.5806,291.195,307.776,530.177,16.4168,323.261,339.678,533.909,16.5314,356.896,373.428,532.116,16.7685,405.182,421.951,540.608,16.5155,434.833,451.349,538.033,16.5917,467.301,483.893,533.562,16.8092,501.751,518.56,534.808,16.535,513.89,530.425,530.067,
2,2,18.2028,31.2632,49.466,483.307,18.1953,60.3971,78.5924,483.84,18.218,89.5431,107.761,483.58,18.4812,123.31,141.791,485.409,18.2063,153.511,171.718,486.509,18.4157,183.78,202.196,487.768,18.4327,213.928,232.361,487.932,18.3975,233.979,252.376,486.467,18.473,264.733,283.206,486.836,18.463,294.09,312.553,490.204,18.6297,326.2,344.83,490.059,18.2366,363.627,381.863,490.508,18.7061,398.082,416.788,494.592,19.3825,440.539,459.921,512.604,18.5666,456.062,474.629,490.13,18.7917,474.007,492.798,494.449,
3,3,20.0614,28.4313,48.4926,436.694,20.1045,54.2681,74.3725,437.688,20.0535,80.8288,100.882,439.215,19.8512,109.769,129.621,437.907,20.0848,137.117,157.202,439.234,19.9426,163.353,183.295,440.753,20.2136,190.928,211.141,438.573,20.1968,211.503,231.7,441.24,20.3141,238.428,258.743,441.073,20.1902,263.011,283.201,440.827,20.3507,290.133,310.484,440.306,20.7921,333.3,354.092,454.18,20.4981,354.983,375.481,444.181,20.2154,382.153,402.368,446.094,20.3784,407.194,427.572,442.297,20.4343,420.729,441.163,440.76,
4,4,21.8435,24.9881,46.8316,392.225,22.1264,48.6539,70.7803,391.885,22.1687,70.9736,93.1423,389.245,21.085,96.5842,117.669,386.105,21.9724,122.609,144.582,395.414,21.8937,145.926,167.819,396.316,21.5849,166.95,188.535,386.889,21.2881,183.725,205.013,388.209,21.6406,209.137,230.777,389.732,21.8984,234.286,256.185,395.893,22.3812,261.828,284.209,400.77,21.4162,284.696,306.112,388.487,22.2748,317.288,339.562,401.321,22.2197,343.274,365.494,404.813,22.1642,364.425,386.589,399.198,22.7565,381.393,404.15,403.796,
5,5,23.4143,21.8701,45.2844,343.208,23.216,41.7861,65.0021,343.603,22.967,61.5247,84.4917,342.656,23.635,86.4031,110.038,350.386,23.7904,106.488,130.279,350.158,23.3083,125.8,149.108,345.013,23.0262,146.432,169.458,343.475,23.8107,164.195,188.006,350.786,23.7421,185.464,209.206,352.215,23.5925,204.209,227.802,349.048,23.866,226.529,250.395,353.171,23.9442,253.899,277.844,351.906,23.9638,277.403,301.367,355.548,23.566,292.895,316.461,345.686,24.0448,319.384,343.429,355.52,24.5231,332.076,356.599,356.231,
