1,1,58.0611,13.2044,71.2655,185.062,58.359,20.2418,78.6008,192.258,58.46,28.1568,86.6168,179.469,58.8729,36.598,95.4709,180.288,60.1146,44.1693,104.284,181.843,59.587,51.6955,111.283,185.111,58.6967,61.1464,119.843,183.901,59.7274,67.0775,126.805,184.57,60.5621,76.9119,137.474,189.463,60.5796,80.3384,140.918,187.082,62.6404,97.8475,160.488,201.546,59.2263,96.6863,155.913,188.226,62.4442,107.103,169.548,193.818,61.33,118.335,179.665,195.755,61.4799,125.845,187.325,198.314,62.5267,132.096,194.623,196.939,
2,2,63.2547,13.1475,76.4022,188.618,63.5814,20.6821,84.2635,200.282,64.5706,28.886,93.4566,192.708,63.8204,35.6777,99.4981,185.237,61.5357,42.314,103.85,183.577,63.7646,52.0068,115.771,193.141,64.4513,61.9992,126.451,192.659,63.3049,65.4592,128.764,187.244,62.6144,72.8927,135.507,188.257,66.4095,82.0069,148.416,196.597,63.6765,89.544,153.221,191.522,64.4768,98.6524,163.129,191.776,64.1248,102.538,166.663,191.121,64.4825,115.334,179.816,193.033,65.0733,123.492,188.566,194.918,63.9025,126.09,189.992,193.009,
3,3,65.2513,12.5729,77.8242,188.226,65.6607,20.2312,85.8919,197.583,67.4614,26.4761,93.9376,189.978,67.7627,36.4591,104.222,188.921,68.4589,41.9733,110.432,190.3,67.882,48.6501,116.532,189.687,68.3839,58.0663,126.45,188.618,68.3932,63.9748,132.368,188.466,68.1311,71.3156,139.447,188.996,69.3816,79.3584,148.74,191,69.2074,88.0192,157.227,189.213,68.5366,97.564,166.101,195.068,68.0353,99.4446,167.48,190.17,70.4079,116.3,186.708,200.503,69.5483,116.585,186.134,189.836,68.8309,123.333,192.164,191.981,
4,4,61.5832,11.9398,73.523,175.285,60.7247,18.2923,79.0169,182.398,63.9914,26.6881,90.6795,179.688,65.9634,34.3724,100.336,184.631,63.9817,39.1401,103.122,180.085,65.672,46.8901,112.562,181.395,64.1225,53.0769,117.199,173.763,64.5495,59.6223,124.172,175.772,65.0189,68.2604,133.279,178.426,62.2384,68.8767,131.115,172.721,65.3333,81.5982,146.931,181.599,66.3546,88.3033,154.658,181.467,63.8349,88.5557,152.391,174.16,63.383,99.4093,162.792,173.54,62.8751,103.226,166.101,174.094,64.764,109.109,173.873,174.905,
5,5,67.2196,11.9969,79.2165,178.465,65.0278,18.9744,84.0021,184.456,67.4838,24.8631,92.3468,179.168,69.9378,34.0413,103.979,182.867,67.9262,39.0371,106.963,179.816,65.5248,43.4354,108.96,172.742,69.6122,53.6528,123.265,181.17,68.5822,57.3175,125.9,173.123,66.2572,62.985,129.242,171.828,69.7702,69.2176,138.988,178.426,69.0916,77.1235,146.215,178.404,67.7105,82.0883,149.799,175.604,67.1648,85.6507,152.815,174.408,68.9259,95.6908,164.617,175.324,69.1637,105.355,174.519,182.293,69.2293,109.985,179.214,178.372,
6,6,71.0466,11.6313,82.6779,175.068,70.8876,17.6349,88.5225,188.74,70.9968,22.6153,93.6121,172.564,72.4127,31.2591,103.672,179.809,70.6703,36.3965,107.067,172.128,71.4205,41.6313,113.052,169.648,71.9577,51.1405,123.098,175.955,71.2687,54.712,125.981,172.087,71.9298,60.9294,132.859,174.101,71.3089,66.5043,137.813,177.147,71.8996,76.0807,147.98,177.703,71.8719,80.5806,152.453,177.641,71.6276,83.3498,154.977,176.42,71.3717,92.7334,164.105,174.494,74.1894,102.491,176.681,180.024,73.662,104.95,178.612,178.295,
7,7,73.6854,10.8384,84.5239,174.107,75.2055,17.6603,92.8658,191.565,74.0494,23.0333,97.0826,172.643,75.3394,30.227,105.566,180.104,75.7244,36.3726,112.097,180.489,76.1907,41.4622,117.653,180.502,75.4444,48.2483,123.693,175.259,74.1627,52.7758,126.938,171.053,74.5658,59.6548,134.221,173.869,75.8909,63.8344,139.725,177.879,74.006,70.7922,144.798,171.398,76.0822,78.9575,155.04,181.009,76.355,85.7141,162.069,183.245,73.5993,88.1381,161.737,173.588,76.2105,94.2418,170.452,174.89,77.7212,103.238,180.959,180.529,
8,8,72.0432,9.94381,81.987,163.261,72.7598,15.4257,88.1855,174.725,73.7974,20.9963,94.7937,169.85,73.5404,28.7384,102.279,170.806,72.1245,32.0641,104.189,163.897,73.1842,36.5743,109.759,161.194,73.2202,45.8175,119.038,168.371,73.9719,51.0649,125.037,171.12,72.3285,54.1211,126.45,167.915,73.9475,60.5423,134.49,169.665,72.7598,67.612,140.372,166.648,73.4929,71.7223,145.215,165.224,72.4956,74.3674,146.863,166.594,72.591,83.9401,156.531,168.078,73.7896,89.1806,162.97,167.846,73.845,95.122,168.967,169.955,
9,9,65.0464,10.6825,75.7289,159.909,64.4761,17.8653,82.3414,169.64,64.3759,21.4651,85.841,160.671,62.9138,32.2461,95.1599,158.973,64.9966,35.1969,100.193,161.383,63.974,39.3392,103.313,157.249,65.1723,46.5227,111.695,159.366,65.0186,50.7771,115.796,158.965,64.4583,55.336,119.794,158.103,64.31,59.8577,124.168,156.749,65.1633,69.2353,134.399,160.412,65.5004,73.5156,139.016,159.118,63.8047,77.326,141.131,159.739,64.075,85.4646,149.54,157.46,63.9443,91.8377,155.782,161.332,64.7547,93.1721,157.927,158.081,
10,10,79.1193,9.64909,88.7684,162.603,79.5898,14.2097,93.7995,174.766,79.0373,19.3757,98.413,164.214,78.838,25.2805,104.119,164.54,80.2162,30.3327,110.549,166.601,82.7219,37.7573,120.479,174.3,80.412,42.9084,123.32,167.222,80.7077,45.642,126.35,163.553,81.2655,51.5409,132.806,166.694,80.7965,54.126,134.923,165.277,80.6548,62.974,143.629,168.506,78.4334,65.5026,143.936,162.852,79.7498,69.785,149.535,165.729,78.3677,77.0516,155.419,164.873,78.9909,82.3937,161.385,165.111,79.9375,86.9409,166.878,167.145,
